id,block,trial,rt,n_incorrect,mu_c,mu_a,sd_c,sd_a,threshold,c,a,n_learning,vignette,units,interval,valence,manipulation_check_c,manipulation_check_a
04j6oendona6p7j6ptv9aq3568zvowd9,1,4,12815,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.733801851217004,0.74065821049023
04j6oendona6p7j6ptv9aq3568zvowd9,1,5,20966,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.733801851217004,0.74065821049023
04j6oendona6p7j6ptv9aq3568zvowd9,1,6,3782,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.733801851217004,0.74065821049023
04j6oendona6p7j6ptv9aq3568zvowd9,1,7,3389,1,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.733801851217004,0.74065821049023
04j6oendona6p7j6ptv9aq3568zvowd9,1,8,4498,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.733801851217004,0.74065821049023
04j6oendona6p7j6ptv9aq3568zvowd9,1,9,15047,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.733801851217004,0.74065821049023
04j6oendona6p7j6ptv9aq3568zvowd9,1,10,2525,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.733801851217004,0.74065821049023
04j6oendona6p7j6ptv9aq3568zvowd9,2,11,7991,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,12,2514,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,13,11629,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,14,9057,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,15,6807,1,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,16,5387,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
04j6oendona6p7j6ptv9aq3568zvowd9,2,17,2296,0,75,75,25,25,167,84,84,10,electricity,megawatt,day,negative,0.827048337332876,0.748885841618101
